date,price_first_auction,price_second_auction,auction_price_spread,auction_spread_dir,y_proba,trade_signal,trade,position_size,profit,profit_pct,cumulative_profit
2022-07-17 06:00:00,160.5,150.09,-10.409999999999997,0,0.2573940266942384,short,short,5.514636315893975,52.407364048456266,5.921072832302073,185.56866632333805
2022-07-17 07:00:00,150.0,158.63,8.629999999999995,1,0.2719535102832469,short,short,5.300516911888863,-50.743460949600866,-6.382202816959878,134.8252053737372
2022-07-17 08:00:00,148.0,144.05,-3.9499999999999886,0,0.2705649975495591,short,short,5.320754227998748,16.016979200594992,2.033975406474612,150.84218457433218
2022-07-17 09:00:00,154.2,142.4,-11.799999999999985,0,0.2868697628330675,short,short,5.085547351617655,55.009458749088246,7.014800039312801,205.85164332342043
2022-07-17 10:00:00,153.2,143.6,-9.599999999999994,0,0.33230682675129547,hold,hold,0.0,0.0,,205.85164332342043
2022-07-17 11:00:00,154.0,144.34,-9.659999999999997,0,0.36110807285819235,hold,hold,0.0,0.0,,205.85164332342043
2022-07-17 12:00:00,152.8,138.06,-14.740000000000007,0,0.3967162787705073,hold,hold,0.0,0.0,,205.85164332342043
2022-07-17 13:00:00,142.0,141.01,-0.9900000000000092,0,0.41135970982689923,hold,hold,0.0,0.0,,205.85164332342043
2022-07-17 14:00:00,140.5,138.02,-2.4799999999999898,0,0.40934764800032164,hold,hold,0.0,0.0,,205.85164332342043
2022-07-17 15:00:00,144.7,137.23,-7.469999999999999,0,0.35792629095033457,hold,hold,0.0,0.0,,205.85164332342043
2022-07-17 16:00:00,177.0,171.1,-5.900000000000006,0,0.320166184400122,hold,hold,0.0,0.0,,205.85164332342043
2022-07-17 17:00:00,228.6,234.01,5.409999999999997,1,0.28980819160450494,short,short,5.043724047120635,-32.28654709492261,-2.8002322831734845,173.56509622849782
2022-07-17 18:00:00,288.8,277.97,-10.829999999999984,0,0.25848884814558615,short,short,5.498387883244597,54.54754077553889,3.435125535734928,228.1126370040367
2022-07-17 19:00:00,301.1,283.98,-17.120000000000005,0,0.23853395926843848,short,short,5.798305311874001,94.26698693928293,5.399428454000137,322.37962394331964
2022-07-17 20:00:00,281.6,274.1,-7.5,0,0.24004531170903942,short,short,5.775311282554111,38.31483461915583,2.355911150517676,360.69445856247546
2022-07-17 21:00:00,264.7,270.44,5.740000000000009,1,0.2502033423249987,short,short,5.621950278606031,-37.26999459919867,-2.504484730488338,323.4244639632768
2022-07-17 22:00:00,238.3,235.37,-2.930000000000007,0,0.2534424254945984,short,short,5.573482120513883,11.330302613105715,0.8530821497086829,334.7547665763825
2022-07-17 23:00:00,200.0,164.01,-35.99000000000001,0,0.2709652771765957,short,short,5.31491627082198,186.28383658688313,17.52462570384701,521.0386031632656
2022-07-18 00:00:00,171.5,163.02,-8.47999999999999,0,0.36835431844972366,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 01:00:00,157.0,138.66,-18.340000000000003,0,0.3637071358547319,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 02:00:00,153.0,134.56,-18.44,0,0.3859877250722781,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 03:00:00,155.8,136.67,-19.130000000000024,0,0.4079107365512311,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 04:00:00,163.7,153.49,-10.20999999999998,0,0.4075992775924894,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 05:00:00,172.3,155.99,-16.310000000000002,0,0.3976000544084899,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 06:00:00,229.9,227.59,-2.3100000000000023,0,0.33081176748917474,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 07:00:00,329.95,344.6,14.650000000000034,1,0.39637447632785916,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 08:00:00,355.4,355.4,0.0,0,0.42034024996416663,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 09:00:00,375.0,374.0,-1.0,0,0.4695775576672365,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 10:00:00,366.5,367.5,1.0,1,0.5403950481699733,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 11:00:00,350.35,357.3,6.949999999999989,1,0.5447471856148229,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 12:00:00,353.1,372.61,19.50999999999999,1,0.5647398236296719,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 13:00:00,358.0,363.73,5.730000000000018,1,0.5518713862396647,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 14:00:00,351.9,354.86,2.9600000000000364,1,0.5551584412820678,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 15:00:00,346.0,354.99,8.990000000000009,1,0.5300668871768565,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 16:00:00,440.0,445.0,5.0,1,0.4139077538186743,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 17:00:00,460.0,506.63,46.629999999999995,1,0.5450945896482405,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 18:00:00,553.7,647.64,93.93999999999994,1,0.3847581916143203,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 19:00:00,506.7,598.62,91.92000000000002,1,0.4366775637221604,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 20:00:00,465.3,499.94,34.639999999999986,1,0.41124058555511106,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 21:00:00,430.3,430.3,0.0,0,0.39085187703100577,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 22:00:00,365.2,347.59,-17.610000000000014,0,0.37824819327488546,hold,hold,0.0,0.0,,521.0386031632656
2022-07-18 23:00:00,265.0,243.78,-21.22,0,0.3646235050982819,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 00:00:00,198.0,174.54,-23.460000000000008,0,0.4956270897180794,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 01:00:00,170.0,150.0,-20.0,0,0.5142172862696615,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 02:00:00,153.2,146.08,-7.119999999999976,0,0.5357658275711086,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 03:00:00,146.2,150.01,3.8100000000000023,1,0.5407205201150276,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 04:00:00,154.2,150.01,-4.189999999999998,0,0.5489334331295926,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 05:00:00,154.02,150.01,-4.010000000000019,0,0.5154685590395567,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 06:00:00,200.0,215.81,15.810000000000002,1,0.47560760373731586,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 07:00:00,277.0,275.99,-1.009999999999991,0,0.4475981036983149,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 08:00:00,289.0,304.04,15.04000000000002,1,0.47433292666823246,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 09:00:00,272.0,281.63,9.629999999999995,1,0.5287702984349134,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 10:00:00,250.0,263.63,13.629999999999995,1,0.5454543325812276,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 11:00:00,237.2,245.7,8.5,1,0.549907936779326,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 12:00:00,232.1,239.35,7.25,1,0.5595828643873981,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 13:00:00,216.3,237.78,21.47999999999999,1,0.5563329916093173,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 14:00:00,209.4,239.11,29.710000000000008,1,0.5531553063170274,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 15:00:00,230.3,245.08,14.78,1,0.5272907124686048,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 16:00:00,290.0,286.96,-3.0400000000000205,0,0.5256236348445325,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 17:00:00,334.7,276.31,-58.389999999999986,0,0.4543698489957565,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 18:00:00,418.7,323.14,-95.56,0,0.35567756803737494,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 19:00:00,404.0,339.93,-64.07,0,0.326807907669037,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 20:00:00,337.0,302.55,-34.44999999999999,0,0.3662865348076777,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 21:00:00,292.2,291.21,-0.9900000000000092,0,0.3705034112435457,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 22:00:00,256.3,248.34,-7.960000000000008,0,0.4200337830649799,hold,hold,0.0,0.0,,521.0386031632656
2022-07-19 23:00:00,233.7,224.92,-8.780000000000001,0,0.42815939948077597,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 00:00:00,198.8,199.69,0.8899999999999864,1,0.3770297097201336,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 01:00:00,165.8,177.3,11.5,1,0.38342978793930826,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 02:00:00,165.4,181.14,15.73999999999998,1,0.4076994890852682,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 03:00:00,168.1,179.26,11.159999999999997,1,0.43679476844002796,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 04:00:00,157.1,176.7,19.59999999999999,1,0.4103176771440003,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 05:00:00,174.1,189.05,14.950000000000015,1,0.41321221414368403,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 06:00:00,200.8,262.56,61.75999999999999,1,0.4430036336708201,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 07:00:00,269.8,272.47,2.670000000000016,1,0.4611251899594504,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 08:00:00,275.8,274.81,-0.9900000000000092,0,0.4361199504592638,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 09:00:00,258.0,271.84,13.839999999999977,1,0.45175330891664284,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 10:00:00,253.0,263.52,10.519999999999982,1,0.5000563552541488,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 11:00:00,239.9,255.01,15.109999999999983,1,0.4911211622716791,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 12:00:00,233.9,248.19,14.289999999999992,1,0.5011155447818099,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 13:00:00,222.0,234.25,12.25,1,0.5473809248665642,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 14:00:00,231.5,246.57,15.069999999999991,1,0.5338193904912325,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 15:00:00,229.0,264.0,35.0,1,0.5238697705859213,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 16:00:00,272.5,285.0,12.5,1,0.5022302168740342,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 17:00:00,281.8,300.92,19.120000000000005,1,0.4624507085945053,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 18:00:00,319.0,314.28,-4.720000000000027,0,0.409621181544511,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 19:00:00,330.0,331.88,1.8799999999999957,1,0.3467686978732701,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 20:00:00,300.8,313.51,12.70999999999998,1,0.36840769923408845,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 21:00:00,282.0,310.33,28.329999999999984,1,0.3978826394679848,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 22:00:00,241.0,289.99,48.99000000000001,1,0.4306042032179561,hold,hold,0.0,0.0,,521.0386031632656
2022-07-20 23:00:00,233.35,198.86,-34.48999999999998,0,0.34280799884916424,hold,hold,0.0,0.0,,521.0386031632656
2022-07-21 00:00:00,189.0,173.41,-15.590000000000003,0,0.31987678564773636,hold,hold,0.0,0.0,,521.0386031632656
2022-07-21 01:00:00,179.7,172.94,-6.759999999999991,0,0.323454859807303,hold,hold,0.0,0.0,,521.0386031632656
2022-07-21 02:00:00,170.45,172.83,2.380000000000024,1,0.30418445465823146,short,short,4.841592731392627,-16.522990700714566,-2.0021812893931,504.5156124625511
2022-07-21 03:00:00,169.1,172.57,3.469999999999999,1,0.34496848655004364,hold,hold,0.0,0.0,,504.5156124625511
2022-07-21 04:00:00,170.0,172.55,2.5500000000000114,1,0.3384990565441214,hold,hold,0.0,0.0,,504.5156124625511
2022-07-21 05:00:00,168.3,172.1,3.799999999999983,1,0.340095146310321,hold,hold,0.0,0.0,,504.5156124625511
2022-07-21 06:00:00,269.0,260.01,-8.990000000000009,0,0.3048486151561918,short,short,4.832354478502644,38.44286676173881,2.957363454924071,542.9584792242899
2022-07-21 07:00:00,300.0,290.6,-9.399999999999975,0,0.35714019220260185,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 08:00:00,325.0,310.01,-14.990000000000007,0,0.40621691680136307,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 09:00:00,329.3,299.99,-29.31,0,0.41551698708946716,hold,hold,0.0,0.0,,542.9584792242899
2022-07-21 10:00:00,320.0,281.91,-38.089999999999975,0,0.44457287571642123,hold,hold,0.0,0.0,,542.9584792242899
